province,specialism,AS1_norm
Noord-Brabant,General & Trauma Surgery,0.428480744815912
Noord-Brabant,Geriatrics & Elderly Care,0.7049910873440286
Noord-Brabant,Gynecology & Obstetrics,0.6626739017491197
Noord-Brabant,Internal Medicine,0.5271822358346094
Noord-Brabant,Neurology & Neurosurgery,0.6877951398632235
Noord-Brabant,Ophthalmology,0.6073706591070164
Noord-Brabant,Orthopedics,0.35951542609509274
Noord-Brabant,Pain Management & Anaesthesiology,0.48148036708289454
Noord-Brabant,Pediatrics,0.6012488128195284
Noord-Brabant,Plastic & Reconstructive Surgery,0.34662298534530667
Noord-Brabant,Psychiatry & Mental Health,0.6269349845201239
Noord-Brabant,Pulmonology,0.6120972770733735
Noord-Brabant,Radiology & Interventional Radiology,0.21045152121955946
Noord-Brabant,Rehabilitation Medicine,0.23732251521298176
Noord-Brabant,Rheumatology,0.6352941176470588
Noord-Brabant,Urology,0.6727156605809678
Noord-Holland,Cardiology,0.22188102032243578
Noord-Holland,Cardiothoracic Surgery,0.01680672268907563
Noord-Holland,Dermatology & Allergology,0.29446625339133337
Noord-Holland,ENT,0.46812659846547316
Noord-Holland,Gastroenterology & Hepatology,0.5493878302494707
Noord-Holland,General & Trauma Surgery,0.28596526112049375
Noord-Holland,Geriatrics & Elderly Care,0.4173320635850854
Noord-Holland,Gynecology & Obstetrics,0.48773264289688983
Noord-Holland,Internal Medicine,0.46343910698607804
Noord-Holland,Neurology & Neurosurgery,0.5600163148384404
Noord-Holland,Ophthalmology,0.6532550092540437
Noord-Holland,Orthopedics,0.2801651009090679
Noord-Holland,Pain Management & Anaesthesiology,0.3822117236244127
Noord-Holland,Pediatrics,0.5307411741980934
Noord-Holland,Plastic & Reconstructive Surgery,0.2626887607010325
Noord-Holland,Psychiatry & Mental Health,0.6358131487889274
Noord-Holland,Pulmonology,0.5332362046985977
Noord-Holland,Radiology & Interventional Radiology,0.15031958403909373
Noord-Holland,Rehabilitation Medicine,0.30971247453022416
Noord-Holland,Rheumatology,0.6015126050420169
Noord-Holland,Urology,0.495171202809482
Overijssel,Cardiology,0.2318321842452692
Overijssel,Cardiothoracic Surgery,0.4427807486631016
Overijssel,Dermatology & Allergology,0.48502911219332345
Overijssel,ENT,0.560994698308508
Overijssel,Gastroenterology & Hepatology,0.590053152601316
Overijssel,General & Trauma Surgery,0.4485421838092548
Overijssel,Geriatrics & Elderly Care,0.48303657976633846
Overijssel,Gynecology & Obstetrics,0.7772238384374888
Overijssel,Internal Medicine,0.4392499357821732
Overijssel,Neurology & Neurosurgery,0.8389689358889624
Overijssel,Ophthalmology,0.8891758538277696
Overijssel,Orthopedics,0.36913999642410156
Overijssel,Pain Management & Anaesthesiology,0.6445012787723786
Overijssel,Pediatrics,0.4871802735692818
Overijssel,Plastic & Reconstructive Surgery,0.24207592172188855
Overijssel,Psychiatry & Mental Health,0.5967914438502674
Overijssel,Pulmonology,0.6848022485444689
Overijssel,Radiology & Interventional Radiology,0.2824293250371973
Overijssel,Rehabilitation Medicine,0.32719613044156654
Overijssel,Rheumatology,0.8328414051132821
Overijssel,Urology,0.7955053581065454
Utrecht,Cardiology,0.3719253838111484
Utrecht,Cardiothoracic Surgery,0.18198529411764705
Utrecht,Dermatology & Allergology,0.38995240142943993
Utrecht,ENT,0.5489189626354667
Utrecht,Gastroenterology & Hepatology,0.5819541049305409
Utrecht,General & Trauma Surgery,0.44707110401571903
Utrecht,Geriatrics & Elderly Care,0.7125668449197862
Utrecht,Gynecology & Obstetrics,0.7384440227703984
Utrecht,Internal Medicine,0.6199550242632264
Utrecht,Neurology & Neurosurgery,0.6265376873182733
Utrecht,Ophthalmology,0.41261722080136404
Utrecht,Orthopedics,0.2577597918774389
Utrecht,Pain Management & Anaesthesiology,0.2630198576245785
Utrecht,Pediatrics,0.6084284460052678
Utrecht,Plastic & Reconstructive Surgery,0.2150534564711592
Utrecht,Psychiatry & Mental Health,0.5481852315394242
Utrecht,Pulmonology,0.7369539237817023
Utrecht,Radiology & Interventional Radiology,0.36836874733803415
Utrecht,Rehabilitation Medicine,0.1645230789319057
Utrecht,Rheumatology,0.7803818097159708
Utrecht,Urology,0.6198632010943913
Zeeland,Cardiology,0.05578747628083491
Zeeland,Dermatology & Allergology,0.6923076923076923
Zeeland,ENT,0.5732372419166343
Zeeland,Gastroenterology & Hepatology,0.6517525144772935
Zeeland,General & Trauma Surgery,0.5929922964961483
Zeeland,Geriatrics & Elderly Care,0.7016300496102056
Zeeland,Gynecology & Obstetrics,0.7305322128851541
Zeeland,Internal Medicine,0.6680131279979803
Zeeland,Neurology & Neurosurgery,0.9250604351329572
Zeeland,Ophthalmology,0.4646579165394846
Zeeland,Orthopedics,0.48590516539025586
Zeeland,Pain Management & Anaesthesiology,0.5563725490196078
Zeeland,Pediatrics,0.6392365456821026
Zeeland,Plastic & Reconstructive Surgery,0.6220084992171774
Zeeland,Pulmonology,0.2615546218487395
Zeeland,Radiology & Interventional Radiology,0.3113342898134864
Zeeland,Rehabilitation Medicine,0.10698300110064816
Zeeland,Rheumatology,0.3123148539991536
Zeeland,Urology,0.691661279896574
Zuid-Holland,Cardiology,0.4196132652853744
Zuid-Holland,Cardiothoracic Surgery,0.11048593350383631
Zuid-Holland,Dermatology & Allergology,0.4687587507233931
Zuid-Holland,ENT,0.5829529057355262
Zuid-Holland,Gastroenterology & Hepatology,0.8077490538200013
Zuid-Holland,General & Trauma Surgery,0.44140962743478895
Zuid-Holland,Geriatrics & Elderly Care,0.637284521059179
Zuid-Holland,Gynecology & Obstetrics,0.7122552003150622
Zuid-Holland,Internal Medicine,0.6637672950885993
Zuid-Holland,Neurology & Neurosurgery,0.7107572310692233
Zuid-Holland,Ophthalmology,0.6188159102322118
Zuid-Holland,Orthopedics,0.3851123595505618
Zuid-Holland,Pain Management & Anaesthesiology,0.5335780180537646
Zuid-Holland,Pediatrics,0.749228584023118
Zuid-Holland,Plastic & Reconstructive Surgery,0.31955309677140514
Zuid-Holland,Psychiatry & Mental Health,0.40079760717846463
Zuid-Holland,Pulmonology,0.7425552966710287
Zuid-Holland,Radiology & Interventional Radiology,0.24769650201007348
Zuid-Holland,Rehabilitation Medicine,0.43337677251203177
Zuid-Holland,Rheumatology,0.7110323794218091
Zuid-Holland,Urology,0.6733250042507892
