province,specialism,AS2_norm
Drenthe,Cardiology,0.2600539375751921
Drenthe,Cardiothoracic Surgery,0.044658736686292264
Drenthe,Dermatology & Allergology,0.5529671631061664
Drenthe,ENT,0.9633761925704378
Drenthe,Gastroenterology & Hepatology,0.6814089105080856
Drenthe,General & Trauma Surgery,0.9060404703093176
Drenthe,Geriatrics & Elderly Care,0.542097326474474
Drenthe,Gynecology & Obstetrics,0.5829456331939907
Drenthe,Internal Medicine,0.5717363468486981
Drenthe,Neurology & Neurosurgery,0.7429542775239261
Drenthe,Ophthalmology,0.5782888578487375
Drenthe,Orthopedics,0.5977745464450734
Drenthe,Pain Management & Anaesthesiology,0.5004407355954491
Drenthe,Pediatrics,0.40880289841231326
Drenthe,Plastic & Reconstructive Surgery,0.7875981152876957
Drenthe,Psychiatry & Mental Health,0.2047871834743974
Drenthe,Pulmonology,0.8753224812772629
Drenthe,Radiology & Interventional Radiology,0.6601097416556087
Drenthe,Rehabilitation Medicine,0.7383433730163173
Drenthe,Rheumatology,0.2024285343982147
Drenthe,Urology,1
Flevoland,Cardiology,0.16192694974724134
Flevoland,Dermatology & Allergology,0
Flevoland,ENT,0.13465003253636382
Flevoland,Gastroenterology & Hepatology,0.06531600530772781
Flevoland,General & Trauma Surgery,0.1536606569318791
Flevoland,Geriatrics & Elderly Care,0.495370158597928
Flevoland,Gynecology & Obstetrics,0.1210366078909916
Flevoland,Internal Medicine,0.05686978360198443
Flevoland,Neurology & Neurosurgery,0.199028368414124
Flevoland,Ophthalmology,0.28035957971657083
Flevoland,Orthopedics,0.07003258271169305
Flevoland,Pain Management & Anaesthesiology,0.2180458399633229
Flevoland,Pediatrics,0.19431364849801736
Flevoland,Plastic & Reconstructive Surgery,0.1579432140766627
Flevoland,Pulmonology,0.27201052141530174
Flevoland,Radiology & Interventional Radiology,0.5337029813041549
Flevoland,Rehabilitation Medicine,0.38117339813683626
Flevoland,Rheumatology,0.19319049409484562
Flevoland,Urology,0.22117702700257208
Fryslân,Cardiology,0.5272051642140202
Fryslân,Cardiothoracic Surgery,0.4594746847511444
Fryslân,Dermatology & Allergology,0.408601337381311
Fryslân,ENT,0.5355150168059464
Fryslân,Gastroenterology & Hepatology,0.3837346262500355
Fryslân,General & Trauma Surgery,0.4157694574479924
Fryslân,Geriatrics & Elderly Care,0.6109401573343467
Fryslân,Gynecology & Obstetrics,0.14652852299369962
Fryslân,Internal Medicine,0.1439393948820749
Fryslân,Neurology & Neurosurgery,0.41154623073797947
Fryslân,Ophthalmology,0.49426792785384316
Fryslân,Orthopedics,0.476841445235187
Fryslân,Pain Management & Anaesthesiology,0.6244102152309515
Fryslân,Pediatrics,0.32398133386206035
Fryslân,Plastic & Reconstructive Surgery,0.6176627593409405
Fryslân,Psychiatry & Mental Health,0.9776064662918177
Fryslân,Pulmonology,0.2511742023439218
Fryslân,Radiology & Interventional Radiology,0.4465146534411456
Fryslân,Rehabilitation Medicine,0.6530087424412301
Fryslân,Rheumatology,0.8467808004452408
Fryslân,Urology,0.32969870916949084
Gelderland,Cardiology,0.643591996357186
Gelderland,Cardiothoracic Surgery,0.17466363339059174
Gelderland,Dermatology & Allergology,0.5375792722953804
Gelderland,ENT,0.3531926336541514
Gelderland,Gastroenterology & Hepatology,0.5481927999683525
Gelderland,General & Trauma Surgery,0.3587476631033576
Gelderland,Geriatrics & Elderly Care,0.20501322364581812
Gelderland,Gynecology & Obstetrics,0.5172870714989046
Gelderland,Internal Medicine,0.6077220623441068
Gelderland,Neurology & Neurosurgery,0.4334747888696428
Gelderland,Ophthalmology,0.29158099920710706
Gelderland,Orthopedics,0.3620962077507171
Gelderland,Pain Management & Anaesthesiology,0.6089196272639205
Gelderland,Pediatrics,0.7309680544086761
Gelderland,Plastic & Reconstructive Surgery,0.453966146087512
Gelderland,Psychiatry & Mental Health,0.5143382116654869
Gelderland,Pulmonology,0.6207799616858954
Gelderland,Radiology & Interventional Radiology,0.4260380899278537
Gelderland,Rehabilitation Medicine,0.44100750093379276
