province,specialism,SP3_norm
Drenthe,Audiology,0.21778671357944202
Drenthe,Cardiology,0.21778671357944202
Drenthe,Cardiothoracic Surgery,0.2177867135794419
Drenthe,Clinical Genetics,0.21778671357944202
Drenthe,Dermatology & Allergology,0.21778671357944202
Drenthe,ENT,0.2177867135794419
Drenthe,Gastroenterology & Hepatology,0.21778671357944202
Drenthe,General & Trauma Surgery,0.2177867135794419
Drenthe,Geriatrics & Elderly Care,0.2177867135794419
Drenthe,Gynecology & Obstetrics,0.2177867135794418
Drenthe,Internal Medicine,0.2177867135794418
Drenthe,Neurology & Neurosurgery,0.2177867135794419
Drenthe,Oncology & Radiotherapy,0.2177867135794419
Drenthe,Ophthalmology,0.21778671357944202
Drenthe,Orthopedics,0.2177867135794419
Drenthe,Pain Management & Anaesthesiology,0.2177867135794419
Drenthe,Pediatrics,0.2177867135794419
Drenthe,Plastic & Reconstructive Surgery,0.2177867135794419
Drenthe,Psychiatry & Mental Health,0.6451348088221611
Drenthe,Pulmonology,0.2177867135794419
Drenthe,Radiology & Interventional Radiology,0.2177867135794419
Drenthe,Rehabilitation Medicine,0.21778671357944202
Drenthe,Rheumatology,0.2177867135794418
Drenthe,Sports Medicine & Other,0.2177867135794418
Drenthe,Urology,0.2177867135794418
Flevoland,Audiology,5.3066005799425555e-17
Flevoland,Cardiology,1.0613201159885111e-16
Flevoland,Cardiothoracic Surgery,5.3066005799425555e-17
Flevoland,Clinical Genetics,1.0613201159885111e-16
Flevoland,Dermatology & Allergology,5.3066005799425555e-17
Flevoland,ENT,5.3066005799425555e-17
Flevoland,Gastroenterology & Hepatology,5.3066005799425555e-17
Flevoland,General & Trauma Surgery,5.3066005799425555e-17
Flevoland,Geriatrics & Elderly Care,5.3066005799425555e-17
Flevoland,Gynecology & Obstetrics,1.0613201159885111e-16
Flevoland,Internal Medicine,5.3066005799425555e-17
Flevoland,Neurology & Neurosurgery,0
Flevoland,Oncology & Radiotherapy,1.0613201159885111e-16
Flevoland,Ophthalmology,5.3066005799425555e-17
Flevoland,Orthopedics,5.3066005799425555e-17
Flevoland,Pain Management & Anaesthesiology,1.0613201159885111e-16
Flevoland,Pediatrics,5.3066005799425555e-17
Flevoland,Plastic & Reconstructive Surgery,5.3066005799425555e-17
Flevoland,Psychiatry & Mental Health,0.5701325160946679
Flevoland,Pulmonology,0
Flevoland,Radiology & Interventional Radiology,5.3066005799425555e-17
Flevoland,Rehabilitation Medicine,5.3066005799425555e-17
Flevoland,Rheumatology,5.3066005799425555e-17
Flevoland,Sports Medicine & Other,5.3066005799425555e-17
Flevoland,Urology,5.3066005799425555e-17
Fryslân,Audiology,0.3002725715425268
Fryslân,Cardiology,0.3002725715425268
Fryslân,Cardiothoracic Surgery,0.3002725715425267
Fryslân,Clinical Genetics,0.3002725715425268
Fryslân,Dermatology & Allergology,0.3002725715425268
Fryslân,ENT,0.3002725715425268
Fryslân,Gastroenterology & Hepatology,0.3002725715425267
Fryslân,General & Trauma Surgery,0.3002725715425267
Fryslân,Geriatrics & Elderly Care,0.3002725715425269
Fryslân,Gynecology & Obstetrics,0.3002725715425267
Fryslân,Internal Medicine,0.3002725715425269
Fryslân,Neurology & Neurosurgery,0.3002725715425268
Fryslân,Oncology & Radiotherapy,0.3002725715425268
Fryslân,Ophthalmology,0.3002725715425268
Fryslân,Orthopedics,0.3002725715425268
Fryslân,Pain Management & Anaesthesiology,0.3002725715425269
Fryslân,Pediatrics,0.3002725715425268
Fryslân,Plastic & Reconstructive Surgery,0.3002725715425268
Fryslân,Psychiatry & Mental Health,0.7627029415325414
Fryslân,Pulmonology,0.3002725715425268
Fryslân,Radiology & Interventional Radiology,0.3002725715425267
Fryslân,Rehabilitation Medicine,0.3002725715425269
Fryslân,Rheumatology,0.3002725715425268
Fryslân,Sports Medicine & Other,0.3002725715425267
Fryslân,Urology,0.3002725715425268
Gelderland,Audiology,0.27056440844635465
Gelderland,Cardiology,0.27056440844635465
Gelderland,Cardiothoracic Surgery,0.27056440844635465
Gelderland,Clinical Genetics,0.27056440844635465
Gelderland,Dermatology & Allergology,0.27056440844635465
Gelderland,ENT,0.27056440844635465
Gelderland,Gastroenterology & Hepatology,0.27056440844635465
Gelderland,General & Trauma Surgery,0.27056440844635465
Gelderland,Geriatrics & Elderly Care,0.27056440844635465
Gelderland,Gynecology & Obstetrics,0.27056440844635465
Gelderland,Internal Medicine,0.27056440844635465
Gelderland,Neurology & Neurosurgery,0.27056440844635454
Gelderland,Oncology & Radiotherapy,0.27056440844635465
Gelderland,Ophthalmology,0.27056440844635465
Gelderland,Orthopedics,0.27056440844635454
Gelderland,Pain Management & Anaesthesiology,0.27056440844635465
Gelderland,Pediatrics,0.27056440844635465
Gelderland,Plastic & Reconstructive Surgery,0.27056440844635465
Gelderland,Psychiatry & Mental Health,0.8871183020432275
Gelderland,Pulmonology,0.27056440844635454
Gelderland,Radiology & Interventional Radiology,0.27056440844635465
Gelderland,Rehabilitation Medicine,0.27056440844635476
Gelderland,Rheumatology,0.27056440844635476
Gelderland,Sports Medicine & Other,0.27056440844635476
Gelderland,Urology,0.27056440844635476
Groningen,Audiology,0.25966851751692666
Groningen,Cardiology,0.25966851751692677
Groningen,Cardiothoracic Surgery,0.25966851751692666
Groningen,Clinical Genetics,0.25966851751692666
Groningen,Dermatology & Allergology,0.25966851751692666
Groningen,ENT,0.25966851751692666
Groningen,Gastroenterology & Hepatology,0.25966851751692677
Groningen,General & Trauma Surgery,0.25966851751692666
Groningen,Geriatrics & Elderly Care,0.25966851751692666
Groningen,Gynecology & Obstetrics,0.25966851751692666
Groningen,Internal Medicine,0.25966851751692666
Groningen,Neurology & Neurosurgery,0.25966851751692666
Groningen,Oncology & Radiotherapy,0.25966851751692666
Groningen,Ophthalmology,0.25966851751692677
Groningen,Orthopedics,0.25966851751692666
Groningen,Pain Management & Anaesthesiology,0.25966851751692677
Groningen,Pediatrics,0.25966851751692677
Groningen,Plastic & Reconstructive Surgery,0.25966851751692666
Groningen,Psychiatry & Mental Health,0.8078626172502341
Groningen,Pulmonology,0.25966851751692666
Groningen,Radiology & Interventional Radiology,0.25966851751692677
Groningen,Rehabilitation Medicine,0.25966851751692666
Groningen,Rheumatology,0.25966851751692666
Groningen,Sports Medicine & Other,0.25966851751692666
Groningen,Urology,0.25966851751692666
Limburg,Audiology,0.36673482663790435
Limburg,Cardiology,0.36673482663790447
Limburg,Cardiothoracic Surgery,0.36673482663790435
Limburg,Clinical Genetics,0.36673482663790435
Limburg,Dermatology & Allergology,0.36673482663790424
Limburg,ENT,0.36673482663790435
Limburg,Gastroenterology & Hepatology,0.36673482663790424
Limburg,General & Trauma Surgery,0.36673482663790435
Limburg,Geriatrics & Elderly Care,0.36673482663790424
Limburg,Gynecology & Obstetrics,0.36673482663790435
Limburg,Internal Medicine,0.36673482663790447
Limburg,Neurology & Neurosurgery,0.36673482663790435
Limburg,Oncology & Radiotherapy,0.36673482663790435
Limburg,Ophthalmology,0.36673482663790424
Limburg,Orthopedics,0.36673482663790435
Limburg,Pain Management & Anaesthesiology,0.36673482663790447
Limburg,Pediatrics,0.36673482663790424
Limburg,Plastic & Reconstructive Surgery,0.36673482663790435
Limburg,Psychiatry & Mental Health,0.9010736905239929
Limburg,Pulmonology,0.36673482663790435
Limburg,Radiology & Interventional Radiology,0.36673482663790435
Limburg,Rehabilitation Medicine,0.36673482663790424
Limburg,Rheumatology,0.36673482663790435
Limburg,Sports Medicine & Other,0.36673482663790435
Limburg,Urology,0.36673482663790435
Noord-Brabant,Audiology,0.1892911852301715
Noord-Brabant,Cardiology,0.1892911852301716
Noord-Brabant,Cardiothoracic Surgery,0.1892911852301716
Noord-Brabant,Clinical Genetics,0.1892911852301715
Noord-Brabant,Dermatology & Allergology,0.1892911852301715
Noord-Brabant,ENT,0.1892911852301715
Noord-Brabant,Gastroenterology & Hepatology,0.1892911852301716
Noord-Brabant,General & Trauma Surgery,0.1892911852301716
Noord-Brabant,Geriatrics & Elderly Care,0.1892911852301716
Noord-Brabant,Gynecology & Obstetrics,0.1892911852301715
Noord-Brabant,Internal Medicine,0.1892911852301715
Noord-Brabant,Neurology & Neurosurgery,0.1892911852301716
Noord-Brabant,Oncology & Radiotherapy,0.1892911852301715
Noord-Brabant,Ophthalmology,0.1892911852301715
Noord-Brabant,Orthopedics,0.1892911852301716
Noord-Brabant,Pain Management & Anaesthesiology,0.1892911852301715
Noord-Brabant,Pediatrics,0.1892911852301715
Noord-Brabant,Plastic & Reconstructive Surgery,0.1892911852301715
Noord-Brabant,Psychiatry & Mental Health,0.6518475362671409
Noord-Brabant,Pulmonology,0.1892911852301716
Noord-Brabant,Radiology & Interventional Radiology,0.1892911852301715
Noord-Brabant,Rehabilitation Medicine,0.1892911852301715
Noord-Brabant,Rheumatology,0.1892911852301715
Noord-Brabant,Sports Medicine & Other,0.1892911852301715
Noord-Brabant,Urology,0.1892911852301715
Noord-Holland,Audiology,0.41897581539863576
Noord-Holland,Cardiology,0.4189758153986359
Noord-Holland,Cardiothoracic Surgery,0.41897581539863576
Noord-Holland,Clinical Genetics,0.4189758153986359
Noord-Holland,Dermatology & Allergology,0.41897581539863576
Noord-Holland,ENT,0.41897581539863576
Noord-Holland,Gastroenterology & Hepatology,0.4189758153986359
Noord-Holland,General & Trauma Surgery,0.41897581539863565
Noord-Holland,Geriatrics & Elderly Care,0.4189758153986359
Noord-Holland,Gynecology & Obstetrics,0.41897581539863576
Noord-Holland,Internal Medicine,0.4189758153986359
Noord-Holland,Neurology & Neurosurgery,0.4189758153986359
Noord-Holland,Oncology & Radiotherapy,0.41897581539863576
Noord-Holland,Ophthalmology,0.41897581539863576
Noord-Holland,Orthopedics,0.4189758153986359
Noord-Holland,Pain Management & Anaesthesiology,0.41897581539863576
Noord-Holland,Pediatrics,0.41897581539863576
Noord-Holland,Plastic & Reconstructive Surgery,0.4189758153986359
Noord-Holland,Psychiatry & Mental Health,0.8927449702106167
Noord-Holland,Pulmonology,0.4189758153986359
Noord-Holland,Radiology & Interventional Radiology,0.4189758153986359
Noord-Holland,Rehabilitation Medicine,0.41897581539863576
Noord-Holland,Rheumatology,0.41897581539863576
Noord-Holland,Sports Medicine & Other,0.41897581539863576
Noord-Holland,Urology,0.41897581539863576
Overijssel,Audiology,0.249382910039127
Overijssel,Cardiology,0.24938291003912688
Overijssel,Cardiothoracic Surgery,0.249382910039127
Overijssel,Clinical Genetics,0.249382910039127
Overijssel,Dermatology & Allergology,0.249382910039127
Overijssel,ENT,0.249382910039127
Overijssel,Gastroenterology & Hepatology,0.249382910039127
Overijssel,General & Trauma Surgery,0.24938291003912688
Overijssel,Geriatrics & Elderly Care,0.249382910039127
Overijssel,Gynecology & Obstetrics,0.249382910039127
Overijssel,Internal Medicine,0.249382910039127
Overijssel,Neurology & Neurosurgery,0.2493829100391271
Overijssel,Oncology & Radiotherapy,0.249382910039127
Overijssel,Ophthalmology,0.249382910039127
Overijssel,Orthopedics,0.249382910039127
