province,specialism,SP1_norm
Drenthe,Audiology,0.21778671357944185
Drenthe,Cardiology,0.21778671357944185
Drenthe,Cardiothoracic Surgery,0.21778671357944185
Drenthe,Clinical Genetics,0.21778671357944185
Drenthe,Dermatology & Allergology,0.21778671357944185
Drenthe,ENT,0.21778671357944185
Drenthe,Gastroenterology & Hepatology,0.21778671357944185
Drenthe,General & Trauma Surgery,0.21778671357944185
Drenthe,Geriatrics & Elderly Care,0.21778671357944185
Drenthe,Gynecology & Obstetrics,0.21778671357944185
Drenthe,Internal Medicine,0.21778671357944185
Drenthe,Neurology & Neurosurgery,0.21778671357944185
Drenthe,Oncology & Radiotherapy,0.21778671357944185
Drenthe,Ophthalmology,0.21778671357944185
Drenthe,Orthopedics,0.21778671357944185
Drenthe,Pain Management & Anaesthesiology,0.21778671357944185
Drenthe,Pediatrics,0.21778671357944185
Drenthe,Plastic & Reconstructive Surgery,0.21778671357944185
Drenthe,Psychiatry & Mental Health,0.6451348088221611
Drenthe,Pulmonology,0.21778671357944185
Drenthe,Radiology & Interventional Radiology,0.21778671357944185
Drenthe,Rehabilitation Medicine,0.21778671357944185
Drenthe,Rheumatology,0.21778671357944185
Drenthe,Sports Medicine & Other,0.21778671357944185
Drenthe,Urology,0.21778671357944185
Flevoland,Audiology,0
Flevoland,Cardiology,5.3066005799425555e-17
Flevoland,Cardiothoracic Surgery,0
Flevoland,Clinical Genetics,0
Flevoland,Dermatology & Allergology,0
Flevoland,ENT,0
Flevoland,Gastroenterology & Hepatology,0
Flevoland,General & Trauma Surgery,0
Flevoland,Geriatrics & Elderly Care,0
Flevoland,Gynecology & Obstetrics,0
Flevoland,Internal Medicine,0
Flevoland,Neurology & Neurosurgery,0
Flevoland,Oncology & Radiotherapy,0
Flevoland,Ophthalmology,0
Flevoland,Orthopedics,0
Flevoland,Pain Management & Anaesthesiology,0
Flevoland,Pediatrics,0
Flevoland,Plastic & Reconstructive Surgery,0
Flevoland,Psychiatry & Mental Health,0.5701325160946676
Flevoland,Pulmonology,0
Flevoland,Radiology & Interventional Radiology,0
Flevoland,Rehabilitation Medicine,0
Flevoland,Rheumatology,0
Flevoland,Sports Medicine & Other,0
Flevoland,Urology,0
Fryslân,Audiology,0.30027257154252673
Fryslân,Cardiology,0.30027257154252673
Fryslân,Cardiothoracic Surgery,0.30027257154252673
Fryslân,Clinical Genetics,0.30027257154252673
Fryslân,Dermatology & Allergology,0.30027257154252673
Fryslân,ENT,0.30027257154252673
Fryslân,Gastroenterology & Hepatology,0.30027257154252673
Fryslân,General & Trauma Surgery,0.30027257154252673
Fryslân,Geriatrics & Elderly Care,0.30027257154252673
Fryslân,Gynecology & Obstetrics,0.30027257154252673
Fryslân,Internal Medicine,0.30027257154252673
Fryslân,Neurology & Neurosurgery,0.30027257154252673
Fryslân,Oncology & Radiotherapy,0.30027257154252673
Fryslân,Ophthalmology,0.30027257154252673
Fryslân,Orthopedics,0.30027257154252673
Fryslân,Pain Management & Anaesthesiology,0.30027257154252673
Fryslân,Pediatrics,0.30027257154252673
Fryslân,Plastic & Reconstructive Surgery,0.30027257154252673
Fryslân,Psychiatry & Mental Health,0.7627029415325414
Fryslân,Pulmonology,0.30027257154252673
Fryslân,Radiology & Interventional Radiology,0.30027257154252673
Fryslân,Rehabilitation Medicine,0.30027257154252673
Fryslân,Rheumatology,0.30027257154252673
