province,specialism,AS3_norm
Drenthe,Cardiology,0.6642415338196711
Drenthe,Cardiothoracic Surgery,0.9460574011832585
Drenthe,Dermatology & Allergology,0.6642415338196711
Drenthe,ENT,0.734695500660568
Drenthe,Gastroenterology & Hepatology,0.734695500660568
Drenthe,General & Trauma Surgery,0.5233336001378774
Drenthe,Geriatrics & Elderly Care,0.734695500660568
Drenthe,Gynecology & Obstetrics,0.6642415338196711
Drenthe,Internal Medicine,0.734695500660568
Drenthe,Neurology & Neurosurgery,0.734695500660568
Drenthe,Ophthalmology,0.45287963329698055
Drenthe,Orthopedics,0.6642415338196711
Drenthe,Pain Management & Anaesthesiology,0.734695500660568
Drenthe,Pediatrics,0.734695500660568
Drenthe,Plastic & Reconstructive Surgery,0.734695500660568
Drenthe,Psychiatry & Mental Health,0.8756034343423618
Drenthe,Pulmonology,0.734695500660568
Drenthe,Radiology & Interventional Radiology,0.734695500660568
Drenthe,Rehabilitation Medicine,0.734695500660568
Drenthe,Rheumatology,0.8051494675014649
Drenthe,Urology,0.734695500660568
Flevoland,Cardiology,0.7037386394013384
Flevoland,Dermatology & Allergology,0.6255454572456342
Flevoland,ENT,0.46915909293422564
Flevoland,Gastroenterology & Hepatology,0.5473522750899299
Flevoland,General & Trauma Surgery,0
Flevoland,Geriatrics & Elderly Care,0.9383181858684512
Flevoland,Gynecology & Obstetrics,0.7819318215570427
Flevoland,Internal Medicine,0.39096591077852133
Flevoland,Neurology & Neurosurgery,0.6255454572456342
Flevoland,Ophthalmology,0.6255454572456342
Flevoland,Orthopedics,0.31277272862281713
Flevoland,Pain Management & Anaesthesiology,0.7037386394013384
Flevoland,Pediatrics,0.7819318215570427
Flevoland,Plastic & Reconstructive Surgery,0.39096591077852133
Flevoland,Pulmonology,0.6255454572456342
Flevoland,Radiology & Interventional Radiology,0.7819318215570427
Flevoland,Rehabilitation Medicine,0.860125003712747
Flevoland,Rheumatology,0.7819318215570427
Flevoland,Urology,0.7819318215570427
Fryslân,Cardiology,0.6941464595752996
Fryslân,Cardiothoracic Surgery,0.9090563985412036
Fryslân,Dermatology & Allergology,0.53296400535087185
Fryslân,ENT,0.6941464595752996
Fryslân,Gastroenterology & Hepatology,0.6404189748338237
Fryslân,General & Trauma Surgery,0.4255090358679198
Fryslân,Geriatrics & Elderly Care,0.7478739443167757
Fryslân,Gynecology & Obstetrics,0.47923652060939587
Fryslân,Internal Medicine,0.6941464595752996
Fryslân,Neurology & Neurosurgery,0.6404189748338237
Fryslân,Ophthalmology,0.6941464595752996
Fryslân,Orthopedics,0.5866914900923478
Fryslân,Pain Management & Anaesthesiology,0.6941464595752996
Fryslân,Pediatrics,0.7478739443167757
Fryslân,Plastic & Reconstructive Surgery,0.53296400535087185
Fryslân,Psychiatry & Mental Health,0.8553289137997275
Fryslân,Pulmonology,0.6941464595752996
Fryslân,Radiology & Interventional Radiology,0.6941464595752996
Fryslân,Rehabilitation Medicine,0.8553289137997275
Fryslân,Rheumatology,0.6941464595752996
Fryslân,Urology,0.53296400535087185
Gelderland,Cardiology,0.7688408476618231
Gelderland,Cardiothoracic Surgery,1
Gelderland,Dermatology & Allergology,0.6037271674202683
Gelderland,ENT,0.6532612714927348
Gelderland,Gastroenterology & Hepatology,0.7523294796376676
Gelderland,General & Trauma Surgery,0.38907938310624707
Gelderland,Geriatrics & Elderly Care,0.8183749517342896
Gelderland,Gynecology & Obstetrics,0.7027953755652012
Gelderland,Internal Medicine,0.7688408476618231
Gelderland,Neurology & Neurosurgery,0.6862840075410458
Gelderland,Ophthalmology,0.6532612714927348
Gelderland,Orthopedics,0.6697726395168904
Gelderland,Pain Management & Anaesthesiology,0.7358181116135122
Gelderland,Pediatrics,0.8018635837101342
Gelderland,Plastic & Reconstructive Surgery,0.6697726395168904
Gelderland,Psychiatry & Mental Health,0.9009317918550671
Gelderland,Pulmonology,0.8183749517342896
Gelderland,Radiology & Interventional Radiology,0.7027953755652012
Gelderland,Rehabilitation Medicine,0.6862840075410458
Gelderland,Rheumatology,0.7853522156859787
Gelderland,Urology,0.7358181116135122
Groningen,Cardiology,0.7205174744420803
Groningen,Cardiothoracic Surgery,0.8981138105913253
Groningen,Dermatology & Allergology,0.7205174744420803
Groningen,ENT,0.7797162531584951
Groningen,Gastroenterology & Hepatology,0.7205174744420803
Groningen,General & Trauma Surgery,0.661318695725665
Groningen,Geriatrics & Elderly Care,0.7797162531584951
Groningen,Gynecology & Obstetrics,0.7205174744420803
Groningen,Internal Medicine,0.661318695725665
