province,specialism,DP1_norm,DP2_norm,DP3_norm,SP1_norm,SP2_norm,SP3_norm,AS1_norm,AS2_norm,AS3_norm,DP,SP,AS,CGI,incomplete_AS
Drenthe,Audiology,0.02340771214380381,0.5350631301668907,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,NA,NA,NA,0.21068738104716256,0.41223245296401684,NA,0.3114599170055897,TRUE
Drenthe,Cardiology,0.6973896347174495,0.6688289127086133,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,0.20001554122309423,0.2600539375751921,0.6642415338196711,0.47993661608561866,0.41223245296401684,0.37477033753931915,0.4223131355296516,FALSE
Drenthe,Cardiothoracic Surgery,0.01289217559741093,0.5796517243474649,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0,0.04465873668629226,0.9460574011832584,0.22204506692522305,0.4122324529640167,0.33023871262318355,0.3215054108374744,FALSE
Drenthe,Clinical Genetics,0.01582229800890472,0.44588594180574226,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,NA,NA,NA,0.17843318021514673,0.41223245296401684,NA,0.29533281658958177,TRUE
Drenthe,Dermatology & Allergology,0.5092418607436557,0.4681802388960294,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,0.6404174573055029,0.5529671631061664,0.6642415338196711,0.3503378001568261,0.41223245296401684,0.6192087180771134,0.46059299039931884,FALSE
Drenthe,ENT,0.40787690457238707,0.44588594180574226,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.8177406997531285,0.9633761925704378,0.734695500660568,0.3091180490696408,0.4122324529640167,0.8386041309947115,0.519984877676123,FALSE
Drenthe,Gastroenterology & Hepatology,0.30941633573497035,0.5127688330766035,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,0.8965415311853384,0.6814089105080856,0.734695500660568,0.29859215654745563,0.41223245296401684,0.770881980784664,0.4939021967653788,FALSE
Drenthe,General & Trauma Surgery,0.6983363179306988,0.4904745359863166,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.5412348562253686,0.9060404703093176,0.5233336001378774,0.4208007182492695,0.4122324529640167,0.6568696422241879,0.4966342711458247,FALSE
Drenthe,Geriatrics & Elderly Care,0.07128139032682682,0.8917718836114845,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.7621797185131722,0.542097326474474,0.734695500660568,0.34554819158970146,0.4122324529640167,0.6796575152160713,0.47914605325659654,FALSE
Drenthe,Gynecology & Obstetrics,0.45745645075909025,0.26753156508344533,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794418,0.7650351953237559,0.5829456331939907,0.6642415338196711,0.26619310555777626,0.4122324529640167,0.6707407874458059,0.449722115322533,FALSE
Drenthe,Internal Medicine,0.9926100374394808,0.5350631301668907,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794418,0.6105369492579066,0.5717363468486981,0.734695500660568,0.5337548228123882,0.4122324529640167,0.6389895989223909,0.5283256248995986,FALSE
Drenthe,Neurology & Neurosurgery,0.45893208172886846,0.6019460214377521,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.865783688133412,0.7429542775239261,0.734695500660568,0.3781564679991379,0.4122324529640167,0.7811444887726354,0.52384446991193,FALSE
Drenthe,Oncology & Radiotherapy,0.04335929064051069,0.5350631301668907,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,NA,NA,NA,0.2173379072127315,0.4122324529640167,NA,0.3147851800883741,TRUE
Drenthe,Ophthalmology,0.610005259475049,0.6242403185280391,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,0.786836935166994,0.5782888578487375,0.45287963329698055,0.4359456262779604,0.41223245296401684,0.606001808770904,0.4847266293376271,FALSE
Drenthe,Orthopedics,0.4131411066149938,0.6465346156183263,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.4785882352941177,0.5977745464450734,0.6642415338196711,0.3777556743547044,0.4122324529640167,0.5802014385196208,0.45672985527944726,FALSE
Drenthe,Pain Management & Anaesthesiology,0.1190015771539152,0.5127688330766035,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.7231734192235972,0.5004407355954491,0.734695500660568,0.23512057035377065,0.4122324529640167,0.6527698851598714,0.4333743028258863,FALSE
Drenthe,Pediatrics,0.2827469828638569,0.08917718836114845,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.6940750983937879,0.40880289841231326,0.734695500660568,0.14850515735193284,0.4122324529640167,0.6125244991555564,0.3910873698238353,FALSE
Drenthe,Plastic & Reconstructive Surgery,0.13028365137006526,0.44588594180574226,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.6822182675195998,0.7875981152876957,0.734695500660568,0.21658696466886687,0.4122324529640167,0.7348372944892878,0.45455223737405714,FALSE
Drenthe,Psychiatry & Mental Health,0.00327506899368906,0.401297347625168,0.07359130083079318,0.6451348088221611,1,0.6451348088221611,0,0.2047871834743974,0.8756034343423618,0.15938790581655007,0.7634232058814407,0.3601302059389197,0.4614055558489954,TRUE
Drenthe,Pulmonology,0.3668988485324733,0.5796517243474649,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.7565740838525716,0.8753224812772629,0.734695500660568,0.3400472912369104,0.4122324529640167,0.788864021930134,0.5137145887103537,FALSE
Drenthe,Radiology & Interventional Radiology,2.4981870591245437e-4,0.4904745359863166,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794419,0.36790376998679775,0.6601097416556087,0.734695500660568,0.18810521850767406,0.4122324529640167,0.5875696707676581,0.39596911407978297,FALSE
Drenthe,Rehabilitation Medicine,0.10846260330467004,0.5350631301668907,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.217786713579442,0.647166955017301,0.7383433730163173,0.734695500660568,0.23903901143411796,0.41223245296401684,0.7067352762313955,0.45266891354317673,FALSE
Drenthe,Rheumatology,0.16249293925851838,0.5573574272571779,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794418,0.4561824729891958,0.2024285343982147,0.8051494675014649,0.2644805557821632,0.4122324529640167,0.4879201582962918,0.38821105568082387,FALSE
Drenthe,Sports Medicine & Other,0.0154330549595736,0.3567087534445938,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794418,NA,NA,NA,0.1485777030783202,0.4122324529640167,NA,0.28040507802116843,TRUE
Drenthe,Urology,0.3184980608127528,0.5796517243474649,0.07359130083079318,0.21778671357944185,0.8011239317331665,0.2177867135794418,0.7697678477919357,1,0.734695500660568,0.323913695330337,0.4122324529640167,0.8348211161508345,0.5236557548150628,FALSE
Flevoland,Audiology,0.02205389762728534,0.6,1,0,0.860982603914041,5.306600579942555e-17,NA,NA,NA,0.5406846325424285,0.28699420130468034,NA,0.4138394169235544,TRUE
Flevoland,Cardiology,0.6639053839442365,0.75,1,5.306600579942555e-17,0.8609826039140404,1.0613201159885111e-16,0.20233547964640403,0.16192694974724134,0.7037386394013384,0.8046351279814122,0.2869942013046802,0.35600035626499454,0.48254322851702897,FALSE
Flevoland,Cardiothoracic Surgery,0.01203966351259366,0.65,1,0,0.860982603914041,5.306600579942555e-17,NA,NA,NA,0.5540132211708646,0.28699420130468034,NA,0.42050371123777247,TRUE
Flevoland,Clinical Genetics,0.01483009951972914,0.5,1,0,0.860982603914041,1.0613201159885111e-16,NA,NA,NA,0.5049433665065765,0.2869942013046804,NA,0.3959687839056284,TRUE
Flevoland,Dermatology & Allergology,0.4847270939521788,0.525,1,0,0.860982603914041,5.306600579942555e-17,0.2191733836391699,0,0.6255454572456342,0.6699090313173929,0.28699420130468034,0.28157294696160134,0.4128253931945582,FALSE
Flevoland,ENT,0.388194463625032,0.5,1,0,0.860982603914041,5.306600579942555e-17,0.38777268810376886,0.13465003253636382,0.4691590929342256,0.6293981545416774,0.28699420130468034,0.3305272711914527,0.41563987567927013,FALSE
Flevoland,Gastroenterology & Hepatology,0.2944277610841298,0.575,1,0,0.860982603914041,5.306600579942555e-17,0.2223633319863765,0.06531600530772781,0.5473522750899299,0.6231425870280433,0.28699420130468034,0.2783438707946781,0.3961602197091339,FALSE
Flevoland,General & Trauma Surgery,0.6648069363555759,0.55,1,0,0.860982603914041,5.306600579942555e-17,0.18107416879795396,0.1536606569318791,0,0.738268978785192,0.28699420130468034,0.11157827524327768,0.3789471517777167,FALSE
Flevoland,Geriatrics & Elderly Care,0.06764531553935123,1,1,0,0.860982603914041,5.306600579942555e-17,0.9920508744038156,0.495370158597928,0.9383181858684512,0.6892151051797838,0.28699420130468034,0.8085797396233981,0.5949296820359541,FALSE
Flevoland,Gynecology & Obstetrics,0.435410426464715,0.3,1,0,0.860982603914041,1.0613201159885111e-16,0.4498925415903845,0.1210366078909916,0.7819318215570427,0.578470142154905,0.2869942013046804,0.45095365701280626,0.4388060001574639,FALSE
Flevoland,Internal Medicine,0.945051877539574,0.6,1,0,0.860982603914041,5.306600579942555e-17,0.2060154378493479,0.05686978360198443,0.3909659107785214,0.8483506258465247,0.28699420130468034,0.21795037740995124,0.4510984015203854,FALSE
Flevoland,Neurology & Neurosurgery,0.43681571034472,0.6749999999999999,1,0,0.860982603914041,0,0.6320918900104421,0.199028368414124,0.6255454572456342,0.7039385701149067,0.28699420130468034,0.4855552385567334,0.49216266999210684,FALSE
Flevoland,Oncology & Radiotherapy,0.04105433351966098,0.6,1,0,0.860982603914041,1.0613201159885111e-16,NA,NA,NA,0.5470181111732203,0.2869942013046804,NA,0.4170061562389503,TRUE
Flevoland,Ophthalmology,0.5806868446160037,0.7,1,0,0.860982603914041,5.306600579942555e-17,0.5391827872088433,0.28035957971657083,0.6255454572456342,0.7602289482053345,0.28699420130468034,0.48169594139034944,0.5096396969667881,FALSE
Flevoland,Orthopedics,0.3932077077376005,0.7250000000000001,1,0,0.860982603914041,5.306600579942555e-17,0.073334859235523,0.07003258271169305,0.31277272862281713,0.7060692359125335,0.28699420130468034,0.1520467235233444,0.3817033869135194,FALSE
Flevoland,Pain Management & Anaesthesiology,0.11309055941967566,0.575,1,0,0.860982603914041,1.0613201159885111e-16,0.40522875816993464,0.2180458399633229,0.7037386394013384,0.5626968531398918,0.2869942013046804,0.44233774584486535,0.43067626676314585,FALSE
Flevoland,Pediatrics,0.2690298042456585,0.1,1,0,0.860982603914041,5.306600579942555e-17,0.4021887824897401,0.19431364849801736,0.7819318215570427,0.45634326808188613,0.28699420130468034,0.4594780841816,0.40093851785605544,FALSE
Flevoland,Plastic & Reconstructive Surgery,0.1238347883994712,0.5,1,0,0.860982603914041,5.306600579942555e-17,0.09077809798270894,0.1579432140766627,0.3909659107785214,0.5412782627998237,0.28699420130468034,0.2132290742792977,0.34716717946126724,FALSE
Flevoland,Psychiatry & Mental Health,0.00288102889507103,0.45,1,0.5701325160946676,0.7407775251741358,0.5701325160946679,NA,NA,NA,0.484293676298357,0.6270141857878238,NA,0.5556539310430904,TRUE
Flevoland,Pulmonology,0.3491699359712892,0.65,1,0,0.860982603914041,0,0.5160331280526651,0.27201052141530174,0.6255454572456342,0.6663899786570964,0.28699420130468034,0.4711963689045337,0.4748601829554368,FALSE
Flevoland,Radiology & Interventional Radiology,0,0.55,1,0,0.860982603914041,5.306600579942555e-17,0.39775419800144224,0.5337029813041549,0.7819318215570427,0.5166666666666667,0.28699420130468034,0.5711296669542133,0.4582635116418534,FALSE
Flevoland,Rehabilitation Medicine,0.10305400531810134,0.6,1,0,0.860982603914041,5.306600579942555e-17,0.3760307861462342,0.38117339813683626,0.860125003712747,0.5676846684393672,0.28699420130468034,0.5391097293319391,0.46459619969199556,FALSE
Flevoland,Rheumatology,0.15450857743148372,0.625,1,0,0.860982603914041,5.306600579942555e-17,0.405665253799235,0.1931904940948456,0.7819318215570427,0.5931695258104946,0.28699420130468034,0.46026252315037447,0.4468087500885165,FALSE
Flevoland,Sports Medicine & Other,0.01445941267875616,0.4,1,0,0.860982603914041,5.306600579942555e-17,NA,NA,NA,0.47148647089291873,0.28699420130468034,NA,0.37924033609879954,TRUE
Flevoland,Urology,0.303076537177764,0.65,1,0,0.860982603914041,5.306600579942555e-17,0.5824612053410321,0.22117702700257208,0.7819318215570427,0.651025512392588,0.28699420130468034,0.5285233513002155,0.48884768833249465,FALSE
Fryslân,Audiology,0.02308868952709528,0.47535084563426505,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,NA,NA,NA,0.24622273648329077,0.48739166600712513,NA,0.36680720124520794,TRUE
Fryslân,Cardiology,0.6894991643687742,0.5941885570428314,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.4009268256222438,0.5272051642140202,0.6941464595752996,0.5079721319000392,0.48739166600712513,0.5407594831371879,0.5120410936814507,FALSE
Fryslân,Cardiothoracic Surgery,0.01269128350122226,0.5149634161037872,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425267,0.342560553633218,0.4594746847511444,0.9090563985412036,0.2559611246311738,0.48739166600712513,0.5703638789751887,0.4379055565378292,FALSE
Fryslân,Clinical Genetics,0.01558848920094109,0.3961257046952209,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,NA,NA,NA,0.2173142893948913,0.48739166600712513,NA,0.3523529777010082,TRUE
Fryslân,Dermatology & Allergology,0.503465024290514,0.415931989929982,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.5492227979274611,0.408601337381311,0.53296400535087185,0.38654189616966933,0.48739166600712513,0.4969293802198813,0.45695431413222526,FALSE
Fryslân,ENT,0.40323879223305126,0.3961257046952209,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.7522281639928698,0.5355150168059464,0.6941464595752996,0.34653105707226134,0.48739166600712513,0.6606298801247052,0.4981842010680306,FALSE
Fryslân,Gastroenterology & Hepatology,0.3058843199030386,0.455544560399504,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425267,0.5463160590796551,0.3837346262500355,0.6404189748338237,0.33388585153035155,0.48739166600712513,0.5234898867211714,0.4482558014195493,FALSE
Fryslân,General & Trauma Surgery,0.6904352126343674,0.435738275164743,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425267,0.5351193942923704,0.4157694574479924,0.4255090358679198,0.4554673873625408,0.48739166600712513,0.4587992958694276,0.4672194497463645,FALSE
Fryslân,Geriatrics & Elderly Care,0.07042455943965961,0.7922514093904418,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425269,0.7879616963064295,0.6109401573343467,0.7478739443167757,0.3676348810395378,0.4873916660071252,0.7155919326525173,0.52353949323306,FALSE
Fryslân,Gynecology & Obstetrics,0.4522613665931306,0.23767542281713253,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425267,0.4870848708487085,0.14652852299369962,0.47923652060939587,0.3100551545662584,0.48739166600712513,0.37094997148393466,0.3894655973524394,FALSE
Fryslân,Internal Medicine,0.9814030896397716,0.47535084563426505,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425269,0.3461355842785545,0.1439393948820749,0.6941464595752996,0.5656608698541828,0.4873916660071252,0.39474047957864306,0.4825976718133171,FALSE
Fryslân,Neurology & Neurosurgery,0.45372042046731453,0.5347697013385483,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.8262387328713593,0.4115462307379794,0.6404189748338237,0.4095729320314583,0.48739166600712513,0.6260679794810541,0.5076775258398792,FALSE
Fryslân,Oncology & Radiotherapy,0.04281613392064817,0.47535084563426505,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,NA,NA,NA,0.25279855128114176,0.48739166600712513,NA,0.3700951086441334,TRUE
Fryslân,Ophthalmology,0.6030964567461995,0.5545759865733092,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.9337005705292152,0.4942679278538432,0.6941464595752996,0.46596703920267357,0.48739166600712513,0.7073716526527859,0.5535767859541948,FALSE
Fryslân,Orthopedics,0.4084438567390548,0.5743822718080703,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.554727829124293,0.476841445235187,0.5866914900923478,0.40768493427854574,0.48739166600712513,0.539420254817276,0.478165618367649,FALSE
Fryslân,Pain Management & Anaesthesiology,0.11760866230333653,0.455544560399504,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425269,0.4857685009487666,0.6244102152309515,0.6941464595752996,0.2711272989971175,0.4873916660071252,0.6014417252516725,0.45332023008530503,FALSE
Fryslân,Pediatrics,0.2795145679626711,0.07922514093904419,0.240228674288512,0.30027257154252673,0.8616298549363218,0.3002725715425268,0.6576207479797032,0.32398133386206035,0.7478739443167757,0.19965612773007577,0.48739166600712513,0.576492008719513,0.421179934152238,FALSE
