province,specialism,DP3_norm
Drenthe,Audiology,0.07359130083079318
Drenthe,Cardiology,0.07359130083079318
Drenthe,Cardiothoracic Surgery,0.07359130083079318
Drenthe,Clinical Genetics,0.07359130083079318
Drenthe,Dermatology & Allergology,0.07359130083079318
Drenthe,ENT,0.07359130083079318
Drenthe,Gastroenterology & Hepatology,0.07359130083079318
Drenthe,General & Trauma Surgery,0.07359130083079318
Drenthe,Geriatrics & Elderly Care,0.07359130083079318
Drenthe,Gynecology & Obstetrics,0.07359130083079318
Drenthe,Internal Medicine,0.07359130083079318
Drenthe,Neurology & Neurosurgery,0.07359130083079318
Drenthe,Oncology & Radiotherapy,0.07359130083079318
Drenthe,Ophthalmology,0.07359130083079318
Drenthe,Orthopedics,0.07359130083079318
Drenthe,Pain Management & Anaesthesiology,0.07359130083079318
Drenthe,Pediatrics,0.07359130083079318
Drenthe,Plastic & Reconstructive Surgery,0.07359130083079318
Drenthe,Psychiatry & Mental Health,0.07359130083079318
Drenthe,Pulmonology,0.07359130083079318
Drenthe,Radiology & Interventional Radiology,0.07359130083079318
Drenthe,Rehabilitation Medicine,0.07359130083079318
Drenthe,Rheumatology,0.07359130083079318
Drenthe,Sports Medicine & Other,0.07359130083079318
Drenthe,Urology,0.07359130083079318
Flevoland,Audiology,1
Flevoland,Cardiology,1
Flevoland,Cardiothoracic Surgery,1
Flevoland,Clinical Genetics,1
Flevoland,Dermatology & Allergology,1
Flevoland,ENT,1
Flevoland,Gastroenterology & Hepatology,1
Flevoland,General & Trauma Surgery,1
Flevoland,Geriatrics & Elderly Care,1
Flevoland,Gynecology & Obstetrics,1
Flevoland,Internal Medicine,1
Flevoland,Neurology & Neurosurgery,1
Flevoland,Oncology & Radiotherapy,1
Flevoland,Ophthalmology,1
Flevoland,Orthopedics,1
Flevoland,Pain Management & Anaesthesiology,1
Flevoland,Pediatrics,1
Flevoland,Plastic & Reconstructive Surgery,1
Flevoland,Psychiatry & Mental Health,1
Flevoland,Pulmonology,1
Flevoland,Radiology & Interventional Radiology,1
Flevoland,Rehabilitation Medicine,1
Flevoland,Rheumatology,1
Flevoland,Sports Medicine & Other,1
Flevoland,Urology,1
Fryslân,Audiology,0.24022867428851202
Fryslân,Cardiology,0.24022867428851202
Fryslân,Cardiothoracic Surgery,0.24022867428851202
Fryslân,Clinical Genetics,0.24022867428851202
Fryslân,Dermatology & Allergology,0.24022867428851202
Fryslân,ENT,0.24022867428851202
Fryslân,Gastroenterology & Hepatology,0.24022867428851202
Fryslân,General & Trauma Surgery,0.24022867428851202
Fryslân,Geriatrics & Elderly Care,0.24022867428851202
Fryslân,Gynecology & Obstetrics,0.24022867428851202
Fryslân,Internal Medicine,0.24022867428851202
Fryslân,Neurology & Neurosurgery,0.24022867428851202
Fryslân,Oncology & Radiotherapy,0.24022867428851202
Fryslân,Ophthalmology,0.24022867428851202
Fryslân,Orthopedics,0.24022867428851202
Fryslân,Pain Management & Anaesthesiology,0.24022867428851202
Fryslân,Pediatrics,0.24022867428851202
Fryslân,Plastic & Reconstructive Surgery,0.24022867428851202
Fryslân,Psychiatry & Mental Health,0.24022867428851202
Fryslân,Pulmonology,0.24022867428851202
Fryslân,Radiology & Interventional Radiology,0.24022867428851202
Fryslân,Rehabilitation Medicine,0.24022867428851202
Fryslân,Rheumatology,0.24022867428851202
Fryslân,Sports Medicine & Other,0.24022867428851202
Fryslân,Urology,0.24022867428851202
Gelderland,Audiology,0.39953398696927933
Gelderland,Cardiology,0.39953398696927933
Gelderland,Cardiothoracic Surgery,0.39953398696927933
Gelderland,Clinical Genetics,0.39953398696927933
Gelderland,Dermatology & Allergology,0.39953398696927933
Gelderland,ENT,0.39953398696927933
Gelderland,Gastroenterology & Hepatology,0.39953398696927933
Gelderland,General & Trauma Surgery,0.39953398696927933
Gelderland,Geriatrics & Elderly Care,0.39953398696927933
Gelderland,Gynecology & Obstetrics,0.39953398696927933
Gelderland,Internal Medicine,0.39953398696927933
Gelderland,Neurology & Neurosurgery,0.39953398696927933
Gelderland,Oncology & Radiotherapy,0.39953398696927933
Gelderland,Ophthalmology,0.39953398696927933
Gelderland,Orthopedics,0.39953398696927933
Gelderland,Pain Management & Anaesthesiology,0.39953398696927933
Gelderland,Pediatrics,0.39953398696927933
Gelderland,Plastic & Reconstructive Surgery,0.39953398696927933
Gelderland,Psychiatry & Mental Health,0.39953398696927933
Gelderland,Pulmonology,0.39953398696927933
Gelderland,Radiology & Interventional Radiology,0.39953398696927933
Gelderland,Rehabilitation Medicine,0.39953398696927933
Gelderland,Rheumatology,0.39953398696927933
