province,specialism,DP2_norm
Drenthe,Geriatrics & Elderly Care,0.8917718836114845
Drenthe,Cardiology,0.6688289127086133
Drenthe,Orthopedics,0.6465346156183263
Drenthe,Ophthalmology,0.6242403185280391
Drenthe,Neurology & Neurosurgery,0.6019460214377521
Drenthe,Pulmonology,0.5796517243474649
Drenthe,Urology,0.5796517243474649
Drenthe,Cardiothoracic Surgery,0.5796517243474649
Drenthe,Rheumatology,0.5573574272571779
Drenthe,Internal Medicine,0.5350631301668907
Drenthe,Rehabilitation Medicine,0.5350631301668907
Drenthe,Audiology,0.5350631301668907
Drenthe,Oncology & Radiotherapy,0.5350631301668907
Drenthe,Gastroenterology & Hepatology,0.5127688330766035
Drenthe,Pain Management & Anaesthesiology,0.5127688330766035
Drenthe,Radiology & Interventional Radiology,0.4904745359863166
Drenthe,General & Trauma Surgery,0.4904745359863166
Drenthe,Dermatology & Allergology,0.4681802388960294
Drenthe,Clinical Genetics,0.44588594180574226
Drenthe,Plastic & Reconstructive Surgery,0.44588594180574226
Drenthe,ENT,0.44588594180574226
Drenthe,Psychiatry & Mental Health,0.401297347625168
Drenthe,Sports Medicine & Other,0.3567087534445938
Drenthe,Gynecology & Obstetrics,0.26753156508344533
Drenthe,Pediatrics,0.08917718836114845
Flevoland,Geriatrics & Elderly Care,1
Flevoland,Cardiology,0.75
Flevoland,Orthopedics,0.7250000000000001
Flevoland,Ophthalmology,0.7
Flevoland,Neurology & Neurosurgery,0.6749999999999999
Flevoland,Pulmonology,0.65
Flevoland,Urology,0.65
Flevoland,Cardiothoracic Surgery,0.65
Flevoland,Rheumatology,0.625
Flevoland,Internal Medicine,0.6
Flevoland,Rehabilitation Medicine,0.6
Flevoland,Audiology,0.6
Flevoland,Oncology & Radiotherapy,0.6
Flevoland,Gastroenterology & Hepatology,0.575
Flevoland,Pain Management & Anaesthesiology,0.575
Flevoland,Radiology & Interventional Radiology,0.55
Flevoland,General & Trauma Surgery,0.55
Flevoland,Dermatology & Allergology,0.525
Flevoland,Clinical Genetics,0.5
Flevoland,Plastic & Reconstructive Surgery,0.5
Flevoland,ENT,0.5
Flevoland,Psychiatry & Mental Health,0.45
Flevoland,Sports Medicine & Other,0.4
Flevoland,Gynecology & Obstetrics,0.3
Flevoland,Pediatrics,0.1
Fryslân,Geriatrics & Elderly Care,0.7922514093904418
Fryslân,Cardiology,0.5941885570428314
Fryslân,Orthopedics,0.5743822718080703
Fryslân,Ophthalmology,0.5545759865733092
Fryslân,Neurology & Neurosurgery,0.5347697013385483
Fryslân,Pulmonology,0.5149634161037872
Fryslân,Urology,0.5149634161037872
Fryslân,Cardiothoracic Surgery,0.5149634161037872
