province,category,year,DP1_raw,DP2_raw,DP3_raw,DP1,DP2,DP3,DP,SP1_raw,SP2_raw,SP3_raw,SP1,SP2,SP3,SP,AS1_raw,AS2_raw,AS3_raw,AS1,AS2,AS3,AS,CGI,CGI_lo90,CGI_hi90,n_pillars_cgi,incomplete,hotspot_flag,wide_ribbon,expected_dbc,pop_total,share_65plus,supply_proxy,has_access_data
Drenthe,Audiology,2025,0.017301082984090554,0,0,0.023407712143803813,0,0,0.007802570714601271,0.022727272727773758,0.27793181818201984,0.022727272727773758,0.21778671357944185,0.8011239317331666,0.21778671357944185,0.4122324529640167,NA,NA,NA,NA,NA,NA,NA,0.210017511839309,0.18126326176318866,0.2420304282766824,2,TRUE,FALSE,FALSE,8763.500262848405,506529,0.25216917491397334,TRUE,FALSE
Drenthe,Audiology,2030,0.017452051773441193,0.02720318333055269,0.006130300251868907,0.023655514068674558,0.29334170534824655,0.05504996478397937,0.12401572806696683,0.044444444447370376,0.25042222222241056,0.0451775932462232,0.8821251954059498,0.4822996767269618,0.9045525614677704,0.7563258112002273,NA,NA,NA,NA,NA,NA,NA,0.4401707696335971,0.38357499499823927,0.5111355901159945,2,TRUE,FALSE,FALSE,8817.223150716998,505225.5898149,0.2748384943561006,TRUE,FALSE
Drenthe,Audiology,2035,0.017539985187759753,0.0496193352597768,0.008195041936696417,0.023799848996591263,0.5350631301668907,0.07359130083079317,0.210818093331425,0.0879120879048134,0.2326813186814058,0.09017014280392442,2.211820822255744,0.27669031907218206,2.2808957820582987,1.5898023077954082,NA,NA,NA,NA,NA,NA,NA,0.9003102005634166,0.7851018948822638,1.0341918823456533,2,TRUE,FALSE,FALSE,8835.317515014698,503724.3430046,0.29351862096378734,TRUE,FALSE
Drenthe,Cardiology,2025,0.4279122392462195,0,0,0.6973896347174495,0,0,0.23246321157248317,0.02272727272777376,0.27793181818201984,0.02272727272777376,0.21778671357944196,0.8011239317331666,0.21778671357944196,0.4122324529640169,0.18890356671070013,-0.7682044371670019,-0.9871103135259778,0.20001554122309426,0.2600539375751921,0.6642415338196711,0.37477033753931915,0.33982200069193974,0.2672150544842432,0.405903884706269,3,FALSE,FALSE,TRUE,216749.95863314832,506529,0.25216917491397334,FALSE,TRUE
Drenthe,Cardiology,2030,0.43164619004957244,0.03400397916319087,0.006130300251868821,0.7035185849489738,0.36667713168530824,0.0550499647839786,0.3750818938060869,0.04444444444737036,0.25042222222241056,0.04517759324622319,0.8821251954059494,0.4822996767269618,0.9045525614677702,0.756325811200227,0.18890356671070013,-0.7682044371670019,-0.9871103135259778,0.20001554122309426,0.2600539375751921,0.6642415338196711,0.37477033753931915,0.5020593475152111,0.3839290801440964,0.6859111293168008,3,FALSE,FALSE,TRUE,218078.70095914966,505225.5898149,0.2748384943561006,FALSE,TRUE
Drenthe,Cardiology,2035,0.43382107033077927,0.062024169074721,0.008195041936696325,0.7070884587113894,0.6688289127086133,0.07359130083079234,0.48316955741693163,0.08791208790481343,0.23268131868140582,0.09017014280392445,2.2118208222557447,0.2766903190721824,2.2808957820582996,1.5898023077954087,0.18890356671070013,-0.7682044371670019,-0.9871103135259778,0.20001554122309426,0.2600539375751921,0.6642415338196711,0.37477033753931915,0.8159140675838864,0.4570816605590715,1.352514307032081,3,FALSE,FALSE,TRUE,218526.23363392416,503724.3430046,0.29351862096378734,FALSE,TRUE
Drenthe,Cardiothoracic Surgery,2025,0.010894684718179719,0,0,0.01289217559741093,0,0,0.004297391865803643,0.022727272727773758,0.27793181818201984,0.022727272727773758,0.21778671357944185,0.8011239317331666,0.21778671357944185,0.4122324529640167,0,-1.7787789167590686,-0.19742206270519555,0,0.044658736686292264,0.9460574011832585,0.3302387126231836,0.24892285248433466,0.08436898558866379,0.37738998151471903,3,FALSE,FALSE,TRUE,5518.473755614855,506529,0.25216917491397334,FALSE,TRUE
Drenthe,Cardiothoracic Surgery,2030,0.010989751446879473,0.02947011527476542,0.006130300251868901,0.013048219230431325,0.3177868474606005,0.05504996478397931,0.1286283438250037,0.04444444444737037,0.25042222222241056,0.04517759324622318,0.8821251954059496,0.4822996767269618,0.90455256146777,0.756325811200227,0,-1.7787789167590686,-0.19742206270519555,0,0.044658736686292264,0.9460574011832585,0.3302387126231836,0.4050642892161381,0.208959430922073,0.6493997438553574,3,FALSE,FALSE,TRUE,5552.303656668832,505225.5898149,0.2748384943561006,FALSE,TRUE
Drenthe,Cardiothoracic Surgery,2035,0.011045124097601671,0.0537542798647582,0.008195041936696483,0.013139108542673784,0.5796517243474649,0.07359130083079375,0.22212737790697748,0.08791208790481343,0.2326813186814058,0.09017014280392442,2.2118208222557447,0.27669031907218206,2.2808957820582987,1.5898023077954084,0,-1.7787789167590686,-0.19742206270519555,0,0.044658736686292264,0.9460574011832585,0.3302387126231836,0.7140561327751899,0.3092068114506516,1.3232005782604794,3,FALSE,FALSE,TRUE,5563.6978794686775,503724.3430046,0.29351862096378734,FALSE,TRUE
Drenthe,Clinical Genetics,2025,0.012679808192677031,0,0,0.015822298008904726,0,0,0.005274099336301575,0.02272727272777376,0.27793181818201984,0.022727272727773758,0.21778671357944196,0.8011239317331666,0.21778671357944185,0.41223245296401684,NA,NA,NA,NA,NA,NA,NA,0.2087532761501592,0.18000515148124033,0.24518358546395888,2,TRUE,FALSE,FALSE,6422.690564028504,506529,0.25216917491397334,FALSE,FALSE
Drenthe,Clinical Genetics,2030,0.012790451861273212,0.022669319442127245,0.006130300251868876,0.016003909812051763,0.24445142112353882,0.05504996478397909,0.10516843190652324,0.04444444444737037,0.2504222222224105,0.04517759324622319,0.8821251954059496,0.48229967672696117,0.9045525614677702,0.756325811200227,NA,NA,NA,NA,NA,NA,NA,0.43074712155337513,0.37234702317266344,0.5001530939245117,2,TRUE,FALSE,FALSE,6462.063585610844,505225.5898149,0.2748384943561006,FALSE,FALSE
Drenthe,Clinical Genetics,2035,0.012854897470158612,0.041349446049814,0.008195041936696375,0.01610969158323745,0.44588594180574226,0.0735913008307928,0.17852897807325752,0.08791208790481342,0.2326813186814058,0.09017014280392444,2.2118208222557443,0.27669031907218206,2.280895782058299,1.5898023077954084,NA,NA,NA,NA,NA,NA,NA,0.884165642934333,0.7718654443722809,1.0262207133085113,2,TRUE,FALSE,FALSE,6475.324782547142,503724.3430046,0.29351862096378734,FALSE,FALSE
Drenthe,Dermatology & Allergology,2025,0.31328664999522077,0,0,0.5092418607436557,0,0,0.1697472869145519,0.02272727272777376,0.27793181818201984,0.02272727272777376,0.21778671357944196,0.8011239317331666,0.21778671357944196,0.4122324529640169,0.6048387096774194,0.606063091705563,-0.9871103135259778,0.6404174573055029,0.5529671631061664,0.6642415338196711,0.6192087180771134,0.40039615265189404,0.24118566691033544,0.5573818353783608,3,FALSE,FALSE,TRUE,158688.77353542918,506529,0.25216917491397334,FALSE,TRUE
Drenthe,Dermatology & Allergology,2030,0.31602038095951857,0.02380278541423361,0.006130300251868799,0.5137290385103025,0.25667399217971576,0.0550499647839784,0.27515099849133223,0.04444444444737037,0.2504222222224105,0.04517759324622319,0.8821251954059496,0.48229967672696117,0.9045525614677702,0.756325811200227,0.6048387096774194,0.606063091705563,-0.9871103135259778,0.6404174573055029,0.5529671631061664,0.6642415338196711,0.6192087180771134,0.5502285092562241,0.3633874616999847,0.7250751020672487,3,FALSE,FALSE,TRUE,159661.58336380217,505225.5898149,0.2748384943561006,FALSE,TRUE
Drenthe,Dermatology & Allergology,2035,0.31761267231028756,0.0434169183523047,0.00819504193669635,0.516342644033489,0.4681802388960294,0.07359130083079257,0.3527047279201036,0.08791208790481342,0.2326813186814058,0.09017014280392444,2.2118208222557443,0.27669031907218206,2.280895782058299,1.5898023077954084,0.6048387096774194,0.606063091705563,-0.9871103135259778,0.6404174573055029,0.5529671631061664,0.6642415338196711,0.6192087180771134,0.8539052512642086,0.48076722285097745,1.3779585835675177,3,FALSE,FALSE,TRUE,159989.23468943493,503724.3430046,0.29351862096378734,FALSE,TRUE
Drenthe,ENT,2025,0.251531904854565,0,0,0.40787690457238707,0,0,0.1359589681907957,0.02272727272777376,0.27793181818201984,0.02272727272777376,0.21778671357944196,0.8011239317331666,0.21778671357944196,0.4122324529640169,0.7723106608779546,2.531588310740816,-0.7896882508207822,0.8177406997531285,0.9633761925704378,0.734695500660568,0.8386041309947115,0.46226518404984135,0.23823554605921343,0.7261524254579343,3,FALSE,FALSE,TRUE,127408.20423407796,506529,0.25216917491397334,FALSE,TRUE
Drenthe,ENT,2030,0.2537267655574396,0.022669319442127245,0.006130300251868901,0.4114795744310706,0.24445142112353882,0.05504996478397931,0.23699365344619625,0.04444444444737037,0.25042222222241056,0.04517759324622319,0.8821251954059496,0.4822996767269618,0.9045525614677702,0.7563258112002272,0.7723106608779546,2.531588310740816,-0.7896882508207822,0.8177406997531285,0.9633761925704378,0.734695500660568,0.8386041309947115,0.610641198547045,0.35854366092138895,0.8089630282709412,3,FALSE,FALSE,TRUE,128189.25478058429,505225.5898149,0.2748384943561006,FALSE,TRUE
