province,year,CGI,DP,SP,AS,hotspot_count
Drenthe,2025,0.4103982094104359,0.17556625749281438,0.4126272141000742,0.6500468948738123,0
Drenthe,2030,0.5647744596063701,0.2909051085229035,0.7567924722881567,0.6500468948738123,0
Drenthe,2035,0.8735540270929224,0.37663339326231804,1.5900761178201426,0.6500468948738123,1
Flevoland,2025,0.26464581724385744,0.16711726340206126,0.2873764057740228,0.34308656578220037,0
Flevoland,2030,0.5616532418242068,0.4504458964204978,0.886547716868264,0.34308656578220037,0
Flevoland,2035,0.9586862346262925,0.6990152707810816,1.8176419518981803,0.34308656578220037,8
Fryslân,2025,0.3966746746935715,0.1735752755890905,0.48773574823602506,0.5332832973202571,0
Fryslân,2030,0.5141496319817168,0.30520799152120964,0.7057790951400776,0.5332832973202571,0
Fryslân,2035,0.7457566106885298,0.41084802650567265,1.289473269203282,0.5332832973202571,1
Gelderland,2025,0.3690088927760384,0.17257795693898206,0.3528281011446022,0.5881553210729734,0
Gelderland,2030,0.558891556381894,0.33672592917187555,0.7538522971914425,0.5881553210729734,0
Gelderland,2035,0.8781351005709022,0.46792972688347195,1.572798691280408,0.5881553210729734,3
Groningen,2025,0.3312425783430586,0.17161413637285625,0.17360043531360111,0.6576004765227574,0
Groningen,2030,0.4908698013663393,0.33482763492606815,0.4855157860191215,0.6576004765227574,0
Groningen,2035,0.8004886083267557,0.44591748084901384,1.2959320939862704,0.6576004765227574,3
Limburg,2025,0.376303979877318,0.1768791289356146,0.4579039370163012,0.49837696970736184,0
Limburg,2030,0.5043228402107136,0.3013113035387766,0.7145349852234044,0.49837696970736184,0
Limburg,2035,0.7870951253824134,0.36987277128055407,1.4875775385528263,0.49837696970736184,0
Noord-Brabant,2025,0.3590209445807459,0.17297488110636475,0.32375294355638773,0.587084203167413,0
Noord-Brabant,2030,0.5802202505074056,0.3324405662829777,0.8226550853792797,0.587084203167413,0
Noord-Brabant,2035,0.9064147860410757,0.46545908762721594,1.6604724901410859,0.587084203167413,3
Noord-Holland,2025,0.35897430544744363,0.17136531796589718,0.44184096742361667,0.4676028471898828,0
Noord-Holland,2030,0.5876324894490276,0.339645719461548,0.9541267955133752,0.4676028471898828,0
Noord-Holland,2035,0.8049408582106322,0.48881890155462154,1.4517364646001711,0.4676028471898828,2
Overijssel,2025,0.3789318531754291,0.17142585729423135,0.37008653784851175,0.6018997129243174,0
Overijssel,2030,0.5683492726954998,0.33772600733651403,0.7675680226874971,0.6018997129243174,0
Overijssel,2035,0.8770801707969457,0.482077952256283,1.5420794119704908,0.6018997129243174,2
Utrecht,2025,0.3441070194865071,0.16946605345672286,0.3276815041961667,0.5411575526151905,0
Utrecht,2030,0.6276432877930306,0.3512957461455884,0.9897379300954214,0.5411575526151905,1
Utrecht,2035,0.9760656883490084,0.5191656005373108,1.8588586143969974,0.5411575526151905,3
Zeeland,2025,0.4504919425100273,0.17540642568604564,0.6157933611755015,0.5650839075372168,0
Zeeland,2030,0.53537877969462,0.2625124941283379,0.7809616624091841,0.5650839075372168,0
Zeeland,2035,0.8275838485247435,0.3365511000417972,1.5750640110841414,0.5650839075372168,0
Zuid-Holland,2025,0.35021017598098947,0.17037879106374243,0.26944724913983614,0.6184948331235105,0
Zuid-Holland,2030,0.5690604767563244,0.3427915967797531,0.7484053425569963,0.6184948331235105,0
Zuid-Holland,2035,0.9360032126135225,0.5066680564656878,1.67663466131055,0.6184948331235105,4
